AFV,Household income,Home Ownership,Count of household members,Household in urban/rural area,population density,Price of Gasoline Affects Travel,Travel is a Financial Burden,Age,Gender,Educational Attainment,More than One Job,Job Category,Count of Car Share Program Usage,Trip Time to Work in Minutes,Best estimate of annual miles,Count of household vehicles,count of children in household,Relationship,Full-Time or Part-Time Worker,Count of Walk Trips,Count of Bike Trips,Level of Physical Activity,Count of adult household members,Public Transportation or Taxi, Passenger to Friend/Family Member or Rental Car, Bicycle or Walk,Race White,Race African,Race Asian,Race American Indian,Race Native Hawaiian,Multiple Response Race
0,6,2,2,1,4,2,2,36,0,3,2,3,0,3,13131.149444784,2,0,2,1,5,0,3,2,4,1,4,0,1,0,0,0,0
0,5,2,1,1,7,4,2,45,1,4,2,1,0,15,3884.0731188905,1,0,1,1,0,0,1,1,4,1,2,0,0,1,0,0,0
0,7,1,4,1,6,2,2,55,1,5,1,4,0,75,12019.8005007454,4,0,1,1,0,7,2,4,1,4,4,1,0,0,0,0,0
0,6,2,2,1,6,3,2,68,1,4,2,1,0,45,28327.2170725575,2,0,1,1,0,0,3,2,4,1,4,1,0,0,0,0,0
0,10,1,1,1,6,4,4,37,1,5,2,4,0,30,8685.30886261594,1,0,1,1,4,0,2,1,2,1,4,0,0,1,0,0,0
0,6,1,1,1,6,2,3,42,0,4,2,4,0,7,7044.79153986364,1,0,1,1,0,0,2,1,2,3,4,1,0,0,0,0,0
0,11,1,1,2,1,5,5,64,1,2,2,4,0,8,15770.3558518643,2,0,1,1,32,0,2,1,4,1,4,1,0,0,0,0,0
0,9,1,2,1,4,4,3,43,1,5,2,4,0,25,14615.1605051483,3,0,1,1,1,0,3,2,3,1,4,1,0,0,0,0,0
1,9,1,4,2,3,3,1,43,0,5,2,4,0,65,12236.2134663403,3,1,1,1,2,1,1,2,1,4,3,0,0,1,0,0,0
1,7,1,2,1,6,4,4,57,1,5,2,4,0,30,6138.53365443025,2,0,1,1,7,0,2,2,4,1,4,1,0,0,0,0,0
0,6,1,2,1,5,5,4,62,0,5,2,4,0,18,11338.4484890409,2,0,1,2,20,0,3,2,1,2,2,1,0,0,0,0,0
0,11,1,4,2,1,5,5,44,0,2,2,4,0,20,22075.5522232796,6,0,2,1,3,0,2,4,2,3,3,1,0,0,0,0,0
0,7,1,4,1,8,4,2,35,0,4,2,1,0,35,1957.59702657896,2,0,1,1,3,0,2,4,1,1,4,0,0,1,0,0,0
0,11,1,4,1,3,3,2,45,0,5,2,4,0,25,4000.0,4,0,1,1,5,0,3,2,2,1,4,1,0,0,0,0,0
0,6,1,2,1,6,5,5,24,1,4,2,2,0,7,7263.62984181253,3,0,1,1,7,0,2,2,3,3,1,1,0,0,0,0,0
0,5,2,2,2,1,1,2,53,1,3,2,3,0,15,10786.8475056194,3,0,1,1,5,0,2,1,4,3,4,1,0,0,0,0,0
0,5,2,2,1,5,4,3,43,0,3,2,1,0,9,5025.35820487977,2,0,1,1,5,3,2,2,1,4,4,0,1,0,0,0,0
0,7,1,2,1,5,1,2,39,1,4,2,4,0,30,8609.14818702566,2,0,3,1,2,0,2,2,2,3,4,1,0,0,0,0,0
