Household income,Home Ownership,Count of household members,Household in urban/rural area,population density,Price of Gasoline Affects Travel,Travel is a Financial Burden,Age,Gender,Educational Attainment,More than One Job,Job Category,Count of Car Share Program Usage,Trip Time to Work in Minutes,Best estimate of annual miles,Count of household vehicles,count of children in household,Relationship,Full-Time or Part-Time Worker,Count of Walk Trips,Count of Bike Trips,Level of Physical Activity,Count of adult household members,Public Transportation or Taxi, Passenger to Friend/Family Member or Rental Car, Bicycle or Walk,Race African,Race Asian,Race American Indian,Race Native Hawaiian,Multiple Response Race
6,1,2,1,4,2,3,49,1,5,2,4,0,20,19475.1198104488,2,0,1,1,4,2,3,1,4,1,4,0,0,1,0,0
6,1,1,1,6,2,4,24,1,4,2,4,0,22,5033.97310465956,1,0,1,1,5,0,2,1,3,1,2,0,0,0,0,0
11,1,3,2,2,4,4,41,0,4,2,4,0,25,21427.9432959324,1,0,1,1,2,0,3,1,2,3,4,0,0,0,0,0
11,2,1,1,8,2,3,33,0,5,2,4,0,15,20407.9437166707,1,0,1,1,9,1,3,1,2,1,1,0,0,0,0,0
8,1,2,1,5,4,3,59,1,5,2,4,0,5,12980.1543720458,2,0,2,1,2,0,2,2,2,4,2,0,0,0,0,0
7,2,1,1,5,4,4,24,0,4,2,4,0,20,20746.6965751851,2,0,1,1,5,0,2,1,4,1,3,0,0,0,0,0
9,1,1,1,2,1,2,58,0,5,1,4,0,35,27574.5268909735,3,0,1,1,3,0,3,1,3,3,3,0,0,0,0,0
7,1,3,2,1,4,2,26,1,3,2,1,0,25,14351.7730460477,4,0,3,1,4,0,3,3,4,4,4,0,0,0,0,0
5,1,2,1,6,3,2,36,1,3,2,1,0,6,34587.6,1,0,1,1,0,0,2,1,1,1,4,0,0,0,0,0
8,2,2,1,8,4,2,63,0,5,2,1,0,10,11316.5685790538,1,0,1,2,30,0,2,2,1,4,4,0,0,0,0,0
10,1,4,1,5,2,3,36,0,4,2,1,0,25,38010.744792669,3,1,2,1,0,0,2,2,4,4,4,0,0,0,0,0
11,1,2,1,5,4,3,66,1,4,2,4,0,50,15032.8379752017,2,0,2,1,0,0,1,2,3,3,2,0,0,0,0,0
8,1,2,1,3,4,3,59,0,3,1,1,0,10,10447.4634308446,4,0,1,1,14,0,2,2,2,3,4,0,0,0,0,0
9,1,2,1,6,3,2,40,0,5,2,4,0,25,7432.85403449267,2,0,1,1,5,2,2,2,3,1,4,1,0,0,0,0
11,1,2,1,5,5,3,69,0,5,2,4,0,20,4461.59108788266,3,0,2,1,3,0,2,2,2,3,4,0,0,0,0,0
11,1,2,1,6,5,5,47,1,5,2,4,0,15,3167.36817058117,2,0,2,1,4,0,2,2,2,1,4,0,0,0,0,0
6,1,1,2,1,2,2,63,1,5,2,1,0,20,14301.6597008894,1,0,1,2,14,0,3,1,4,3,4,0,0,0,0,1
4,1,1,2,1,5,4,71,1,4,2,2,0,35,4571.17310673356,1,0,1,2,3,0,2,1,4,3,4,0,0,0,0,0
11,1,3,1,5,4,4,50,1,4,2,4,0,10,20762.227290706,3,0,1,1,5,0,3,2,1,4,3,0,0,0,0,0
7,1,2,1,6,1,2,74,0,2,2,3,0,30,9355.25778045084,2,0,1,2,7,0,2,2,4,4,4,0,0,0,0,0
9,1,3,1,5,5,5,57,1,4,1,1,0,15,3315.63522387178,3,0,1,2,2,0,3,3,1,3,1,0,0,0,0,0
8,2,5,1,2,3,2,36,1,3,2,4,0,45,18816.5588049432,3,0,1,1,15,0,2,2,4,2,4,0,0,0,0,0
7,1,2,1,6,2,4,30,1,4,2,1,0,40,10042.6000693451,4,0,1,1,0,0,2,2,1,4,3,0,0,0,0,0
6,1,1,1,7,4,5,67,0,4,2,4,0,45,3167.76081161905,1,0,1,2,2,0,2,1,2,1,4,0,0,0,0,0
5,2,3,1,5,3,3,30,0,3,2,1,0,20,15884.860008979,2,1,2,1,3,0,3,2,4,2,4,0,0,0,0,0
7,2,1,1,5,4,4,31,1,5,2,4,0,15,6208.73829554395,1,0,1,1,0,0,2,1,2,2,4,1,0,0,0,0
9,1,2,1,6,4,4,50,1,4,2,2,0,27,13204.6281715893,2,0,2,1,0,0,2,2,3,3,4,0,0,0,0,0
7,1,1,1,4,4,4,63,0,3,2,4,0,20,5805.71658207255,2,0,1,1,3,0,2,1,4,4,4,0,0,0,0,0
5,1,1,1,2,2,4,58,0,3,2,3,0,10,2725.00472325885,2,0,1,2,7,0,2,1,4,4,4,0,0,0,0,0
10,1,5,1,4,4,3,36,1,4,1,4,0,25,17019.5186834797,4,1,2,2,6,0,2,4,4,3,4,0,1,0,0,0
10,1,2,1,5,4,4,43,1,5,2,4,0,300,5690.08317954816,1,0,1,1,20,0,2,1,1,1,2,0,0,0,0,0
9,1,2,1,5,5,4,28,0,5,2,4,0,18,11011.899666015,2,0,1,1,10,0,3,2,3,3,3,0,0,0,0,0
3,1,1,1,6,2,3,61,1,4,2,1,0,5,17265.3806400082,3,0,1,2,5,0,2,1,4,3,3,0,0,0,0,0
3,1,1,2,1,5,5,71,1,2,1,1,0,15,15654.3758856814,1,0,1,1,5,0,1,1,4,1,4,1,0,0,0,0
9,2,2,1,7,2,4,55,1,3,2,2,0,15,9531.34915391276,3,0,2,1,0,0,1,2,4,3,4,0,0,0,0,0
10,1,2,1,2,4,3,48,1,4,2,4,0,35,9998.45113836095,2,0,2,1,21,0,1,2,4,4,4,0,0,0,0,0
8,1,2,1,5,4,3,57,1,2,2,3,0,90,35659.4347190912,3,0,1,2,3,0,2,2,4,4,4,0,0,0,0,0
9,1,2,1,4,4,3,53,1,5,2,4,0,30,29956.3985235173,4,0,1,1,5,0,3,2,3,1,3,0,0,0,0,0
6,1,1,2,1,4,4,48,1,5,2,4,0,30,13887.0527654956,1,0,1,1,4,1,3,1,2,3,3,0,0,0,0,0
9,1,4,1,6,5,2,45,0,5,2,4,0,65,24363.4456159018,2,0,1,1,2,0,2,2,3,3,3,0,0,0,0,0
5,2,2,2,1,1,2,25,1,1,1,1,0,3,15107.3042356246,4,0,2,2,4,0,3,2,4,3,2,0,0,0,0,0
8,1,2,1,6,5,4,42,0,5,2,4,0,17,11806.6936982913,2,0,1,1,5,2,3,2,4,4,1,0,0,0,0,0
5,2,2,1,4,1,2,38,1,5,2,4,0,30,13656.4102841704,1,0,1,1,0,0,2,2,4,4,4,0,0,0,0,0
10,1,3,2,2,4,3,49,1,5,2,4,0,45,30251.0799612231,3,0,1,1,1,0,1,2,4,1,4,0,0,0,0,0
7,1,5,1,6,4,2,68,1,5,2,4,0,90,13014.0983534243,5,0,5,1,6,0,1,5,4,3,2,0,0,0,0,0
10,1,3,1,5,2,3,34,0,4,1,4,0,25,17465.244830036,2,0,2,1,0,0,2,2,1,3,3,0,0,0,0,0
8,1,2,1,3,2,3,57,0,5,2,4,0,30,11111.6156117832,2,0,1,1,3,0,2,2,4,4,4,0,0,0,0,0
11,1,4,2,1,4,4,43,1,5,2,4,0,5,15446.9730861791,3,0,1,1,4,1,2,3,4,1,4,0,0,0,0,0
11,1,3,1,6,4,4,49,1,4,2,2,0,45,29220.8445441727,3,0,1,2,1,0,3,3,4,4,4,0,0,0,0,0
1,1,1,1,3,1,1,23,1,3,2,1,0,15,789.035263476346,2,0,1,2,0,0,2,1,2,1,4,0,0,0,0,0
5,1,1,1,4,2,3,57,1,2,2,2,0,25,14079.6800617741,1,0,1,1,4,0,2,1,2,1,2,0,0,0,0,0
10,1,5,1,4,2,3,40,1,5,2,4,0,36,9042.23833406235,2,2,2,2,3,0,1,2,4,1,4,0,0,0,0,0
7,1,2,1,6,3,2,63,1,2,2,2,0,15,4476.09040444993,2,0,1,1,1,0,2,2,4,1,4,0,0,0,0,0
8,1,2,1,3,2,2,62,0,4,2,4,0,40,8899.97642732292,3,0,1,1,4,0,2,2,4,3,4,0,0,0,0,0
3,2,3,1,6,1,1,23,1,3,2,2,0,30,4261.42392300109,2,1,2,1,2,0,1,2,3,3,4,0,0,0,0,0
8,1,2,1,5,5,5,60,1,5,2,4,0,25,12713.2892436975,2,0,1,1,14,2,3,2,2,3,4,0,0,0,0,0
6,2,1,1,4,2,3,46,0,4,2,4,0,45,11200.0,3,0,1,1,6,0,2,1,3,2,2,0,0,0,0,0
7,1,2,2,1,5,4,49,1,5,2,2,0,35,19831.6188478711,2,0,1,1,3,0,2,2,4,4,4,1,0,0,0,0
8,1,1,2,2,1,2,56,0,5,2,4,0,35,2959.45637829244,3,0,1,1,7,0,2,1,1,3,3,1,0,0,0,0
5,1,1,1,4,1,2,59,0,2,2,1,0,3,7827.4582983796,1,0,1,1,20,0,2,1,4,4,2,1,0,0,0,0
10,1,2,1,5,2,3,40,1,5,2,4,0,25,9138.40410611159,3,0,2,1,2,0,2,2,4,4,4,0,0,0,0,0
9,1,2,2,1,2,3,61,1,3,2,1,0,45,25315.2918963353,2,0,2,1,5,0,2,2,2,3,2,0,0,0,0,0
10,1,3,1,7,4,3,64,1,4,2,4,0,21,8956.55507946159,3,0,2,1,3,0,2,3,4,1,2,0,1,0,0,0
10,2,3,1,7,4,3,50,0,5,2,4,0,15,14904.8071926701,2,0,2,1,7,0,2,2,1,4,4,0,0,0,0,0
5,1,2,1,4,2,2,61,0,2,2,3,0,25,5600.0,3,0,2,1,4,0,2,2,4,3,4,0,0,0,0,0
11,1,2,2,3,4,2,63,1,5,2,4,0,60,49417.8652379415,3,0,1,1,25,0,2,2,4,2,2,0,0,0,0,0
5,2,4,1,7,1,2,30,0,5,2,1,0,30,1763.68402745063,2,1,2,1,0,0,2,2,4,4,4,1,0,0,0,0
7,1,3,1,6,5,5,62,0,3,2,1,0,8,34235.2581013822,2,0,1,1,3,0,2,2,4,4,4,0,0,0,0,0
10,1,2,1,3,5,2,77,0,5,2,4,0,15,5653.34261855506,4,0,1,1,2,0,2,2,2,4,4,0,0,0,0,0
7,2,1,1,6,3,2,37,0,5,2,4,0,45,10297.3042637081,1,0,1,1,5,0,3,1,2,2,4,0,1,0,0,0
7,1,1,1,6,1,4,50,0,3,2,4,0,20,10186.3014790826,1,0,1,1,15,0,2,1,1,2,4,0,0,0,0,0
10,1,3,1,3,2,2,43,0,3,2,4,0,35,24543.2975268439,2,0,1,1,0,0,1,2,4,4,4,0,0,0,0,0
8,1,2,2,2,2,3,55,0,3,2,3,0,25,12156.269962562,3,0,1,1,5,1,2,2,2,1,4,0,0,0,0,0
4,2,2,1,5,3,1,45,1,3,2,3,0,15,11488.4708259411,1,0,1,2,10,0,2,1,2,4,4,0,0,0,0,1
11,1,3,1,3,3,3,51,1,4,2,4,0,25,13057.3991364299,3,0,2,1,7,0,3,3,4,3,2,0,0,0,0,0
11,1,3,1,5,4,3,62,0,4,2,4,0,45,22690.6291967754,3,0,2,1,7,0,2,3,3,4,4,0,0,0,0,0
7,1,3,1,5,2,3,27,0,4,2,1,0,10,11662.8677001754,2,1,2,1,1,0,2,2,4,1,4,0,0,0,0,0
10,1,4,1,3,2,4,44,0,5,2,4,0,90,8168.38188399312,2,0,2,1,14,0,2,2,3,3,2,0,0,0,0,0
6,1,3,2,1,2,2,30,0,3,2,1,0,8,17726.3138594823,3,1,1,1,6,0,3,2,2,3,3,0,0,0,0,0
7,2,2,1,7,4,4,29,0,4,2,4,0,10,6896.28874249528,1,0,2,1,7,0,3,2,2,4,2,0,0,0,0,0
1,1,2,2,1,1,3,60,0,3,2,2,0,120,4331.29443644331,4,0,2,1,1,0,2,2,4,1,4,1,0,0,0,0
8,1,4,1,5,3,3,45,0,2,2,4,0,35,6163.80457543786,2,0,2,1,0,0,1,2,4,1,4,0,0,0,0,0
6,1,1,1,6,1,2,45,0,4,2,4,0,20,10554.8449946423,2,0,1,1,1,0,2,1,1,1,1,0,0,0,0,0
9,1,3,1,2,3,3,34,1,5,2,4,0,15,13374.1341588881,2,1,2,2,2,0,2,2,4,3,4,0,0,0,1,0
6,2,1,1,5,2,2,49,1,4,2,2,0,40,6305.83728815305,2,0,1,1,3,0,2,1,3,1,4,0,0,0,0,0
8,1,2,1,4,4,4,61,0,3,2,4,0,30,3419.57163454541,2,0,1,1,6,2,3,2,4,3,4,0,0,0,0,0
5,1,1,1,6,2,3,38,0,3,2,4,0,15,3639.9122336168,2,0,1,1,0,0,2,1,4,4,4,0,0,0,0,0
5,1,1,2,2,4,3,67,1,5,2,1,0,10,11086.2786271633,1,0,1,2,6,0,3,1,3,3,2,0,0,0,0,0
6,1,2,2,1,2,2,54,0,3,2,4,0,35,8883.86793642465,2,0,1,1,7,0,2,2,4,2,4,0,0,0,0,0
11,1,3,1,8,3,3,39,0,4,2,4,0,60,15843.9040663673,2,1,1,1,2,0,2,2,1,4,4,0,0,0,0,0
5,1,4,2,1,2,2,30,1,5,2,4,0,60,42890.8495026294,1,1,1,1,0,0,2,2,4,4,4,0,0,0,0,1
4,2,3,1,6,1,2,26,0,3,2,3,0,15,5529.4561335326,2,0,2,1,3,0,2,2,1,1,2,0,0,0,0,0
8,1,3,1,2,5,5,33,1,4,2,4,0,18,13330.6497172497,3,1,2,1,1,0,2,2,1,1,4,0,0,0,0,0
11,1,3,1,6,2,4,39,1,5,1,4,0,5,5697.29388860635,2,1,2,1,6,0,2,2,3,1,3,0,0,0,0,0
7,1,2,1,6,4,4,55,1,5,2,4,0,20,200000.0,4,0,2,1,0,0,2,2,1,4,1,1,0,0,0,0
